                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.6154,                0.77798,                 1.0957,                 0.9155,                 0.8952,                0.93388,                0.47209,                 1.5686,                0.75011,                 1.1306,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.6172,                0.76233,                  1.129,                0.92098,                0.89948,                0.94517,                0.51286,                 1.4944,                0.73208,                 1.1097,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.6075,                0.75108,                  1.083,                0.88745,                0.88171,                0.92566,                0.48721,                 1.5371,                0.78219,                 1.1161,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.6185,                0.77164,                 1.1237,                 0.8717,                0.85729,                0.89194,                0.43413,                 1.6213,                0.82108,                 1.1424,               0.000713,               0.000713,               0.000713
                     68,                 1.5782,                 0.7512,                 1.1018,                0.93468,                0.90987,                0.95595,                0.54932,                 1.4458,                0.70236,                 1.0855,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.5781,                0.74647,                 1.1153,                0.94384,                0.91476,                0.96116,                0.55801,                  1.443,                0.68109,                 1.0881,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5491,                0.72617,                 1.1101,                0.94028,                 0.8996,                0.95313,                0.54516,                 1.4584,                0.69001,                 1.1005,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.5593,                0.72636,                 1.0888,                 0.9465,                0.91476,                0.95944,                0.55908,                 1.4284,                0.66979,                 1.0826,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.5299,                0.71601,                 1.0995,                0.94866,                0.92148,                0.95783,                0.54959,                 1.4509,                0.67799,                 1.0824,               0.000614,               0.000614,               0.000614
                     73,                 1.5841,                0.73599,                 1.0743,                0.94289,                0.91965,                0.95282,                0.53757,                 1.4537,                0.68585,                 1.0835,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.5853,                0.75983,                 1.1065,                0.88845,                0.86832,                0.89654,                0.43513,                 1.6413,                0.77371,                 1.1423,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.5767,                0.75333,                 1.1056,                0.91512,                0.88938,                0.93701,                0.51767,                 1.4931,                0.72602,                 1.1008,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.5758,                0.73973,                 1.1098,                0.95529,                0.93357,                0.96818,                0.57449,                 1.4315,                 0.6556,                 1.0756,              0.0005348,              0.0005348,              0.0005348
                     77,                  1.496,                 0.7157,                 1.1035,                0.95448,                0.93541,                0.96837,                0.57381,                 1.4227,                0.65059,                 1.0745,               0.000515,               0.000515,               0.000515
                     78,                 1.5525,                0.72703,                 1.0594,                0.94766,                0.93482,                0.96481,                0.54131,                 1.4494,                0.67148,                 1.0853,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.5354,                0.71514,                 1.0667,                0.94247,                0.92331,                0.95905,                0.53802,                  1.444,                0.68541,                 1.0833,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.5251,                0.71891,                  1.081,                0.93665,                 0.9216,                0.95444,                0.53185,                 1.4679,                0.69034,                 1.0905,              0.0004556,              0.0004556,              0.0004556
                     81,                  1.513,                0.70802,                 1.0985,                0.94193,                0.92674,                0.95944,                0.55351,                 1.4338,                0.67089,                 1.0772,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.5075,                0.69449,                 1.0887,                0.95852,                0.93185,                0.97097,                0.57618,                 1.4195,                0.64361,                 1.0638,               0.000416,               0.000416,               0.000416
                     83,                 1.5244,                0.71173,                 1.0567,                0.95053,                0.93344,                0.96555,                0.56231,                 1.4042,                0.66623,                 1.0617,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.5205,                0.70263,                 1.0931,                0.89535,                0.91757,                 0.9266,                 0.5085,                 1.4313,                0.72799,                 1.0725,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5175,                0.69825,                 1.0566,                0.88281,                0.90452,                0.91727,                0.48584,                 1.4758,                0.74955,                 1.0862,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.5477,                 0.7176,                 1.0726,                0.89298,                0.87259,                0.90787,                0.46229,                 1.6072,                0.76375,                 1.1283,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.5345,                0.71459,                 1.0816,                0.93958,                0.92645,                0.95906,                0.55538,                 1.4291,                0.66684,                 1.0712,               0.000317,               0.000317,               0.000317
                     88,                  1.543,                0.70588,                 1.0717,                0.94871,                0.92576,                0.96443,                0.56574,                 1.4049,                0.65625,                 1.0642,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.4916,                0.67545,                 1.0689,                0.94356,                0.92445,                0.96099,                0.54322,                 1.4307,                0.67441,                 1.0728,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.5348,                0.70618,                 1.0993,                0.92671,                0.91873,                0.94712,                0.49631,                 1.5125,                0.72677,                 1.0978,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.4991,                0.71969,                 1.1374,                0.93753,                0.93248,                0.96041,                0.54115,                 1.4177,                0.68939,                 1.0669,              0.0002378,              0.0002378,              0.0002378
                     92,                  1.483,                0.70385,                 1.1021,                0.96065,                0.94195,                0.97224,                0.55983,                 1.4712,                0.65326,                 1.0724,               0.000218,               0.000218,               0.000218
                     93,                 1.4972,                0.68925,                 1.1092,                0.95655,                 0.9447,                0.97175,                0.55888,                  1.487,                0.65011,                 1.0745,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.4889,                0.70192,                  1.119,                0.95242,                0.93614,                0.96799,                0.57545,                 1.4214,                0.64571,                 1.0573,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.5098,                0.73278,                 1.1165,                0.94964,                0.93676,                0.96626,                0.57089,                 1.4156,                0.64297,                 1.0587,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.4711,                  0.685,                  1.083,                0.95055,                0.93645,                0.96336,                0.55129,                 1.4544,                0.64959,                 1.0707,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.4849,                 0.6947,                 1.0885,                0.95139,                0.93553,                 0.9636,                0.54523,                 1.4586,                0.65371,                 1.0721,               0.000119,               0.000119,               0.000119
                     98,                 1.4693,                0.67832,                  1.103,                 0.9553,                0.94022,                0.96822,                0.55496,                 1.4154,                0.65012,                 1.0591,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.4315,                0.67483,                  1.106,                0.95934,                0.94409,                0.97248,                0.56442,                 1.3949,                0.64473,                 1.0522,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.4535,                 0.6844,                 1.1128,                 0.9611,                0.94378,                0.97344,                0.56909,                 1.3932,                 0.6389,                 1.0509,               5.96e-05,               5.96e-05,               5.96e-05
